,volatility
902,0.019928383332193565
903,0.040015746747275024
904,0.039664406547249315
905,0.039712528417024925
906,0.04459163880033218
907,0.04057233496157057
908,0.023942329855084484
909,0.02398897297342148
910,0.024595061910434594
911,0.013700224663406998
912,0.02462889694027246
913,0.025726538259411433
914,0.026385260325895037
915,0.02613732583622585
916,0.02489337592391972
917,0.008021853392716919
918,0.01267035789994664
919,0.02094893809930117
920,0.02263617890133116
921,0.022690217938765373
922,0.025419876227793247
923,0.019062032222806457
924,0.01652088095841437
925,0.016072668862829962
926,0.021938718674965225
927,0.02087348053526831
928,0.0199138634847844
929,0.022504780601858003
930,0.02170495779756951
931,0.014398849001907717
932,0.014825954009556528
933,0.014286241539174733
934,0.02786098744110429
935,0.05821125859504055
936,0.05997820322456164
937,0.05916746708516874
938,0.056397382428269555
939,0.05818800396192815
940,0.024503145700034038
941,0.019415313775112193
942,0.015366489712383502
943,0.015120185444839243
944,0.014451316939437032
945,0.008530233287767705
946,0.015457221172262196
947,0.015423077560588607
948,0.01553753414025393
949,0.016344083914229205
950,0.013768402857839118
951,0.007924049640685894
952,0.012283060375403748
953,0.022982699759261746
954,0.024692570763141183
955,0.025719423330471735
956,0.036569161121931995
957,0.03627652084710028
958,0.027272280121264682
959,0.02713840414904062
960,0.022120071215271597
961,0.008199081510058851
962,0.00846990641703872
963,0.01096903999841119
964,0.010397963690110442
965,0.01021744690984644
966,0.009561341682987197
967,0.011397198420990956
968,0.012517729368990656
969,0.012543259498057385
970,0.015487876047731181
971,0.015461624125297557
972,0.016801118004438634
973,0.008361083107586549
974,0.007212997921879888
975,0.011561592949331349
976,0.012083795482322088
977,0.008876118564974824
978,0.01225503420234399
979,0.009759698830772478
980,0.010977462694632399
981,0.013988122805111825
982,0.014412741043772924
983,0.026630130349438796
984,0.024896177715757938
985,0.02798285397515316
986,0.028267621317198423
987,0.03099958788282696
988,0.009872396269436624
989,0.020479206910640525
990,0.026398683902019392
991,0.02637061262595822
992,0.025572374962908352
993,0.025548048243417557
994,0.017952572368043616
995,0.013251318415394894
996,0.01892198398329666
997,0.018919718741058036
998,0.044638470820211724
999,0.04441992866877198
1000,0.053946500283442445
1001,0.054775147920078406
1002,0.05627101065733674
1003,0.033227628811341205
1004,0.03571824100960486
1005,0.023702601832808038
1006,0.02000561780038782
1007,0.021610599675181093
1008,0.02238557420933252
1009,0.027724303751128766
1010,0.032282714819589275
1011,0.03181558338044841
1012,0.028176547544854366
1013,0.025140773238184092
1014,0.026174798131200713
1015,0.023100052188531887
1016,0.02362954643041227
1017,0.02805504470470708
1018,0.025386641720418008
1019,0.046738630748682224
1020,0.047357985571325756
1021,0.052069588635218496
1022,0.04859724015431525
1023,0.06185255818514048
1024,0.04710080983861615
1025,0.045941184079086664
1026,0.045731833964684124
1027,0.052180569424331594
1028,0.035991923300362064
1029,0.027033295209269764
1030,0.025892782288047596
1031,0.031226114101412735
1032,0.027689347446798306
1033,0.023281945702440052
1034,0.02028562090377428
1035,0.03253529713944112
1036,0.023681779223989452
1037,0.02367941393606161
1038,0.019927565338596385
1039,0.036612897550946204
1040,0.039501217594310904
1041,0.04027830592972863
1042,0.036643901933488265
1043,0.043077250094823556
1044,0.038618502751096594
1045,0.032352552919327586
1046,0.03528687315786268
1047,0.033555476122694834
1048,0.03664193087206891
1049,0.035424598654389
1050,0.03760526929050733
1051,0.02829205066565948
1052,0.02944906804111034
1053,0.031177356005768844
1054,0.024267665253578093
1055,0.02010579903396235
1056,0.03794947008014026
1057,0.03628254360654966
1058,0.04551478569553867
1059,0.046866130849424516
1060,0.04968616367098578
1061,0.04509348821105509
1062,0.044817081082934446
1063,0.03736289048136515
1064,0.05469692972833146
1065,0.05834005699500079
1066,0.039449866571860684
1067,0.0651924978532719
1068,0.07114140944399909
1069,0.0735364816098454
1070,0.06461875608193526
1071,0.06070826031049847
1072,0.04187592302190484
1073,0.03105006045639672
1074,0.017623949371796815
1075,0.06279060633650395
1076,0.07651167806459597
1077,0.07335046030347833
1078,0.07480727937981736
1079,0.0753577401573062
1080,0.03384400602519384
1081,0.03136998670376048
1082,0.057256519624769596
1083,0.05779573779265932
1084,0.05777044851643802
1085,0.061583939046783186
1086,0.04736511516506638
1087,0.03347807028921278
1088,0.03954236995468841
1089,0.042479317195873736
1090,0.03232548714112292
1091,0.03136179010094751
1092,0.03212737122010741
1093,0.0796137635886894
1094,0.07637255500617068
1095,0.08483899358992879
1096,0.08612042288629768
1097,0.08676692785786928
1098,0.03891864308093007
1099,0.040576293084533074
1100,0.03550338713794529
1101,0.021266397997011167
1102,0.028753716520929395
1103,0.03050016503987336
1104,0.04198380972527648
1105,0.03910692383061616
1106,0.03903614242470086
1107,0.051805972749254324
1108,0.07164510799974691
1109,0.05473585295367451
1110,0.05439600172172478
1111,0.0444486325684841
1112,0.046260925049411886
1113,0.025641363067184883
1114,0.055900689540474585
1115,0.04996951002168146
1116,0.04982718105757406
1117,0.055858899136859784
1118,0.05329551124573067
1119,0.030286243451715805
1120,0.03315199323498216
1121,0.031016052420181545
1122,0.019741320019721703
1123,0.017994879766176898
1124,0.01166213030296182
1125,0.02117527528349983
1126,0.02909465241793557
1127,0.03990357685480714
1128,0.051329289680414135
1129,0.04970571830160822
1130,0.052141690841954504
1131,0.03972753785003329
1132,0.03758260848807358
1133,0.021612686305688297
1134,0.021682811622450386
1135,0.025810795035993924
1136,0.027301751616385372
1137,0.02709864718076154
1138,0.02433063178339447
1139,0.04973645751303931
1140,0.04123013508938859
1141,0.04135388283228329
1142,0.0342989621536006
1143,0.026897256291733545
1144,0.01404475462633138
1145,0.01520327866053861
1146,0.01450455106174898
1147,0.018909977079687005
1148,0.019153487285757758
1149,0.020774064032482466
1150,0.02281361103912807
1151,0.026613135002234833
1152,0.03012882021631191
1153,0.02871061733072883
1154,0.03076269335600005
1155,0.028341489768893512
1156,0.017752778415474922
1157,0.026329185431452875
1158,0.028439272088650946
1159,0.02802689559902572
1160,0.03353822471961717
1161,0.03559538296870307
1162,0.0263240854111846
1163,0.026393806470815902
1164,0.02955614731706934
1165,0.031704006201637804
1166,0.03209312663585913
1167,0.025104341149610496
1168,0.02453603430489491
1169,0.01528118005059199
1170,0.05414646890421627
1171,0.049289735681206634
1172,0.048461645670017345
1173,0.04893335084659438
1174,0.050987246230214694
1175,0.03722245420447059
1176,0.04006802987497794
1177,0.03979367238047701
1178,0.053104058767526066
1179,0.05387990901686205
1180,0.054375770688821004
1181,0.05413082760288303
1182,0.05519360691656807
1183,0.0375860867166663
1184,0.027679823690519578
1185,0.027922394430321885
1186,0.0638481850481995
1187,0.059110332036393536
1188,0.060805200598470145
1189,0.06251547831324379
1190,0.058683707651489836
1191,0.034771328114845505
1192,0.03223633604754022
1193,0.05879090684102195
1194,0.09263254455704617
1195,0.09455770109773196
1196,0.09594058410111826
1197,0.09760457193366633
1198,0.093740780675617
1199,0.079697851427142
1200,0.06882985113817586
1201,0.07006651228165847
1202,0.06999495080527994
1203,0.0364500024454131
1204,0.04357528867179449
