,volatility30
138,0.02892410801429793
139,0.028174541811519835
140,0.028148320779527544
141,0.028019274428663022
142,0.02802444155901331
143,0.02731296852810221
144,0.027454261493249293
145,0.02772268684777046
146,0.027729770509643193
147,0.026935815211698563
148,0.025905786230935132
149,0.025658711101079618
150,0.028293690766878623
151,0.028432862132685165
152,0.027733840161040222
153,0.027067654304428857
154,0.02713662454797036
155,0.03019650549286081
156,0.030447750737656303
157,0.030188624930493606
158,0.0303535689892412
159,0.02971986302259179
160,0.029761013394460415
161,0.02976111920426655
162,0.02979542282921336
163,0.029940976676511164
164,0.029990591618519653
165,0.028280833563674664
166,0.027289872886482963
167,0.02725898912758563
168,0.024956209407173895
169,0.024944555274634635
170,0.025274659648242465
171,0.02509251694204885
172,0.024925825700472807
173,0.025006475828369377
174,0.02452619211226638
175,0.023342151285867772
176,0.02335695476616654
177,0.024273761127465123
178,0.02406133901720767
179,0.024068296025592864
180,0.020243817379484656
181,0.020057228514409893
182,0.019464367714064634
183,0.019467652400180672
184,0.019737433295074682
185,0.013604976764668653
186,0.01330107034754045
187,0.013226572829384898
188,0.012940949925859167
189,0.013054760506698973
190,0.015123722357927808
191,0.015984456681788668
192,0.015798587941379363
193,0.016001285301553314
194,0.01626462626457669
195,0.016233482860370272
196,0.01720724693117575
197,0.01719363848621013
198,0.017277574448223757
199,0.017686799733860056
200,0.01898603429098273
201,0.018769938848479082
202,0.019853217234831178
203,0.02071799617652425
204,0.02109075383697449
205,0.021697501236418348
206,0.021681019510299854
207,0.021104843419259535
208,0.020978679875656905
209,0.021337389222212493
210,0.022005185997196513
211,0.025025305660217913
212,0.025008644158844854
213,0.025137482991472056
214,0.024881961021250076
215,0.026002522863356373
216,0.02602328172468386
217,0.026035913269267543
218,0.026118484278563385
219,0.026330360162173123
220,0.02476607934982674
221,0.024426382198494998
222,0.024769904477461302
223,0.024704752673822702
224,0.02428185394377252
225,0.024707840178283935
226,0.024306365091118175
227,0.024751898895636996
228,0.024692421172888415
229,0.02655971576192764
230,0.024643582506895415
231,0.02592041657951585
232,0.02876847890144669
233,0.028638372594682895
234,0.02863664924680976
235,0.03511169491699693
236,0.03520554354533433
237,0.035169467425881916
238,0.035845089482749795
239,0.035660569252726405
240,0.03552590858916784
241,0.033929032108662806
242,0.03402107780078744
243,0.034306941225055426
244,0.03439198727613316
245,0.033503233118314366
246,0.033671268677788004
247,0.03347803894123162
248,0.03426661822508099
249,0.03409611727927902
250,0.035888639829079826
251,0.03586685493891804
252,0.03534578787515454
253,0.03553056728246015
254,0.03680009977251956
255,0.03666101005012067
256,0.036689824333775226
257,0.03649098849520018
258,0.03639353897700916
259,0.03509839904642151
260,0.035567193164373824
261,0.03507453907419727
262,0.032230957314241554
263,0.03213709541519432
264,0.03285379023939304
265,0.025022683235686547
266,0.0251508054997613
267,0.02630090175298922
268,0.025552066839144405
269,0.02547326370272962
270,0.025299274264240727
271,0.025703530692475156
272,0.025472205090723073
273,0.025296614339107744
274,0.025378884774879713
275,0.025990981481823154
276,0.026157370332382992
277,0.02630309167121941
278,0.025536426459756897
279,0.02540079927661775
280,0.022993908300796576
281,0.022999089699831277
282,0.023158707952201832
283,0.02302962088964892
284,0.021139097789877336
285,0.021088398436434397
286,0.021089248741277593
287,0.02108837104786775
288,0.022226639775988252
289,0.02289581299405408
290,0.02221869424482347
291,0.021530745880881615
292,0.02180618788161406
293,0.020870676005370736
294,0.019226399857273025
295,0.019409629839274464
296,0.019369692226425563
297,0.018922808163628364
298,0.018899064986513357
299,0.01986838608761462
300,0.01981709211486313
301,0.01857905805266276
302,0.02047989129898275
303,0.020306117057472577
304,0.01996577563445782
305,0.019160990258712745
306,0.01890869998066041
307,0.01868829813957531
308,0.01872804212543703
309,0.019375928712829213
310,0.019375084289116884
311,0.019500200740053306
312,0.019741932515353226
313,0.01992353214124602
314,0.0191405187011258
315,0.01922725781811103
316,0.019849700183854985
317,0.020918484085967286
318,0.019685943600636392
319,0.018851453539361285
320,0.01903860050639341
321,0.019066717937347065
322,0.018923178611944588
323,0.019165098350821783
324,0.019415826611244576
325,0.02438078087528363
326,0.024345605033367315
327,0.023609466789220816
328,0.02350957641665561
329,0.02404158426337467
330,0.029091420496776352
331,0.029145269421268147
332,0.028392164442591884
333,0.029525279139748808
334,0.030124352229269704
335,0.0301553873959569
336,0.030314981810624836
337,0.03026222686575226
338,0.03032738483363201
339,0.029701799927567784
340,0.03014755959598656
341,0.029840597649686072
342,0.03014002558290665
343,0.029505473296329736
344,0.031726389104464854
345,0.031977046851646
346,0.032329318614779154
347,0.031954427439261766
348,0.031880543004643665
349,0.031292267903135565
350,0.031022898619222593
351,0.031276682493866705
352,0.031129441240113492
353,0.030922825084559437
354,0.03131624622565768
355,0.02821558558192469
356,0.02823956453961912
357,0.028246740405176423
358,0.029554586807184712
359,0.02872507423216028
360,0.02419006866942739
361,0.024254382029517612
362,0.023944161925628638
363,0.02285279499908872
364,0.022288630414452525
365,0.022294897909937553
366,0.022170566576178417
367,0.02497567615587775
368,0.025394496687755664
369,0.025133406551128282
370,0.02395076315649097
371,0.024236875119575594
372,0.024149148705690255
373,0.02523043665808433
374,0.023303464351810733
375,0.024285209693948467
376,0.02324766495711616
377,0.023332680187889036
378,0.023235790981713557
379,0.023226107257946833
380,0.023231513856857785
381,0.023205141192692888
382,0.023665162864990992
383,0.023193859670886236
384,0.022979628599183437
385,0.022366250552366775
386,0.023477520995158815
387,0.0253227585188955
388,0.024588028779436628
389,0.025020436685738796
390,0.02385995833061927
391,0.023800000379840567
392,0.023610896600685105
393,0.02361072103489044
394,0.023267178709402692
395,0.02433685411195184
396,0.02433930363555009
397,0.023157950265527492
398,0.022504385298426147
399,0.0233258208203218
400,0.023336625674750804
401,0.023774099988208588
402,0.024248982889524557
403,0.023269473240814895
404,0.023284034226587442
405,0.022098984597213333
406,0.022256083284871334
407,0.022253633443241005
408,0.022048204607979106
409,0.02222910883813669
410,0.022237875042428006
411,0.022686683530647116
412,0.022575244459048422
413,0.02315753398143355
414,0.024104250027324855
415,0.025025168540223547
416,0.02400115753928045
417,0.021971108351886336
418,0.02165813448895885
419,0.02104154818142709
420,0.02063339876696236
421,0.020700106623788146
422,0.020961416550757277
423,0.021314045452395555
424,0.02111847704357054
425,0.019819071931144325
426,0.019806187424838112
427,0.0183852579911952
428,0.018334669615685945
429,0.017532861708448234
430,0.017555369842590738
431,0.016345844477131333
432,0.016286858607486698
433,0.016308097278561383
434,0.01615910722986295
435,0.018310684185872093
436,0.018765557443197706
437,0.020588680895212028
438,0.02070020958140448
439,0.019949960993331402
440,0.020341563175536096
441,0.02681736482112217
442,0.031041147761520768
443,0.03084412830386376
444,0.030885749795477518
445,0.030298082472051936
446,0.030842320026339187
447,0.03084216900075113
448,0.0328404607169612
449,0.03304231271065818
450,0.03483061246833731
451,0.03481597611529169
452,0.035076139846679906
453,0.035505958600254114
454,0.035513242502826975
455,0.035540858423551834
456,0.035768372437973574
457,0.03577377663846521
458,0.03709629706451176
459,0.037428098250210165
460,0.03733407001846002
461,0.037111583873174474
462,0.037414115455293794
463,0.03756979287473427
464,0.03757169544838022
465,0.03651992577943403
466,0.036082412541499326
467,0.035335322032508186
468,0.035531139878670286
469,0.035528032133210874
470,0.0353135172601775
471,0.03137787808644803
472,0.0274551532634214
473,0.02739815612089889
474,0.026467920220387145
