date,close,volume,trend,fg_index,cluster,log_return,hl_spread,momentum_3,vol_change,rolling_std_5,volatility21
2023-10-01,27992.57,24602.81468,26,48.0,0,0.03748988079317705,1111.4199999999983,971.1800000000003,11798.19161,0.017295934791829438,0.01613577414691458
2023-10-02,27494.51,57071.14241,38,50.0,0,-0.017952769440012815,1298.5600000000013,587.5499999999993,32468.32773,0.02232214533491444,0.02552422555702185
2023-10-03,27426.46,28928.96555,31,50.0,0,-0.0024781075361443865,516.0200000000004,463.8999999999978,-28142.17686,0.020687709150891014,0.025635240049781176
2023-10-04,27778.57,29816.142,32,49.0,0,0.012756619276586195,637.7200000000012,-214.0,887.176449999999,0.02060134297751121,0.025670661783572805
2023-10-05,27410.39,30681.49619,29,48.0,0,-0.013342721522066095,768.3899999999994,-84.11999999999898,865.3541900000018,0.022474554306813683,0.02552795147050565
2023-10-06,27931.09,37983.24277,27,50.0,0,0.018818266735082634,1119.0600000000013,504.630000000001,7301.746579999995,0.01598720422793792,0.02574707226734912
2023-10-07,27956.67,13348.83825,30,49.0,0,0.0009154062279922295,187.5899999999965,178.09999999999854,-24634.404519999996,0.012711131940816016,0.025692132192447016
2023-10-08,27917.05,19693.56921,25,50.0,0,-0.0014181982742726472,407.6399999999994,506.65999999999985,6344.730960000001,0.012598311805124197,0.02557989999026361
2023-10-09,27590.12,31534.74639,27,50.0,0,-0.011779875664382407,727.9300000000003,-340.97000000000116,11841.177179999999,0.012888975160619631,0.025235536769148376
2023-10-10,27390.12,22776.84383,29,50.0,0,-0.007275373195296091,437.0,-566.5499999999993,-8757.902559999999,0.011710716144353853,0.024943865420005585
2023-10-11,26875.52,37349.44706,29,47.0,0,-0.01896652932854734,938.7299999999996,-1041.5299999999988,14572.603229999997,0.008022569929993534,0.02406011959667371
2023-10-12,26759.63,23428.64112,29,45.0,0,-0.004321426540286491,392.0400000000009,-830.489999999998,-13920.805939999998,0.006875676252261313,0.02448062459527492
2023-10-13,26862.0,24115.76499,28,44.0,0,0.0038182399293200187,445.0,-528.119999999999,687.1238699999994,0.008482995660658075,0.02476801510144757
2023-10-14,26852.48,10417.25576,26,47.0,0,-0.0003544668067039467,200.58000000000175,-23.040000000000873,-13698.50923,0.00864815635950916,0.02460840742272591
2023-10-15,27154.15,15274.6917,26,45.0,0,0.011171707530674917,485.08000000000175,394.52000000000044,4857.435939999999,0.01121319032065041,0.02480057953174385
2023-10-16,28500.78,78399.22445,43,47.0,0,0.04840156611029453,2887.34,1638.7799999999988,63124.53275,0.021280232433275134,0.023452568594495928
2023-10-17,28395.91,38428.44532,38,52.0,0,-0.0036863346095197267,544.3300000000017,1543.4300000000003,-39970.779129999995,0.02116194054292689,0.02324700047228933
2023-10-18,28320.0,32162.47591,33,50.0,0,-0.0026768518861103275,839.4900000000016,1165.8499999999985,-6265.969409999998,0.021963922557198035,0.023074008876814583
2023-10-19,28713.71,35895.50179,31,52.0,0,0.01380644022600064,816.2299999999996,212.9300000000003,3733.025880000001,0.02109886284545405,0.0234336330029086
2023-10-20,29669.04,59422.0992,43,53.0,0,0.03272936881268124,1629.2599999999984,1273.130000000001,23526.597409999995,0.022672771093724373,0.02296476749512241
2023-10-21,29909.8,27517.51897,35,63.0,0,0.008082108028452294,915.2200000000012,1589.7999999999993,-31904.580229999996,0.014850931276708553,0.02320845944184962
2023-10-22,29992.46,22852.54563,33,53.0,0,0.002759830846653565,608.0,1278.75,-4664.9733400000005,0.0136335472443016,0.0233030172017406
2023-10-23,33069.99,93513.64246,62,53.0,7,0.09768020786547688,4858.310000000005,3400.949999999997,70661.09683,0.03894738627183567,0.012780024317286474
2023-10-24,33922.73,115265.02418,100,66.0,7,0.02545906657086265,2447.6600000000035,4012.930000000004,21751.38171999999,0.0379975399211305,0.013433561803335027
2023-10-25,34496.05,54887.02529,69,72.0,7,0.016759533553249224,1453.7999999999956,4503.590000000004,-60377.998889999995,0.03872612692887531,0.018673879467382637
2023-10-26,34151.66,39744.66255,56,71.0,7,-0.01003363081588025,1073.1299999999974,1081.6700000000055,-15142.362739999997,0.04201452399883944,0.021478864251808102
2023-10-27,33892.02,32330.40106,46,70.0,7,-0.00763160546721126,854.0500000000029,-30.710000000006403,-7414.261490000001,0.04370690730066584,0.021440217060312874
2023-10-28,34081.0,16880.13144,39,65.0,0,0.005560455807826632,633.3300000000017,-415.0500000000029,-15450.26962,0.015309404192855041,0.021461848172639485
2023-10-29,34525.89,20685.52176,38,72.0,7,0.012969433130901344,820.1100000000006,374.2299999999959,3805.3903199999986,0.012008326183337296,0.021728737683902134
2023-10-30,34474.73,33657.95976,46,68.0,7,-0.0014828854979810758,793.1600000000035,582.7100000000064,12972.437999999998,0.009488974139955227,0.021698504630059914
2023-10-31,34639.77,32737.89822,45,66.0,7,0.004775852062776867,695.489999999998,558.7699999999968,-920.0615399999988,0.00777971180928233,0.02434129444265109
2023-11-01,35421.43,53473.28165,46,66.0,7,0.022314560261213128,1484.6100000000006,895.5400000000009,20735.383429999998,0.009116604115936911,0.025820680809718877
2023-11-02,34941.59,48015.57732,51,72.0,7,-0.013639193957310053,1684.989999999998,466.8599999999933,-5457.7043300000005,0.013718624975821068,0.025590126866086943
